name,description,n,trials,resize
cycles_48,,48,1000,True
,class,start_nodes,weights
0,0,"[0.84664345 0.39763033 0.30290325 0.32802973 0.76297397 0.00403055
 0.57788641 0.05790948 0.14072474 0.81236253 0.82359506 0.29479017
 0.63483712 0.20528645 0.32548806 0.72455195 0.2083641  0.58529962
 0.78073997 0.79327311 0.85654843 0.67125207 0.5285231  0.10064941
 0.71021604 0.95304169 0.89189363 0.77121587 0.32286592 0.97978639
 0.44103436 0.20132336 0.77219815 0.67945922 0.19266927 0.73528988
 0.28359299 0.72576873 0.87305602 0.66415962 0.05812564 0.1466767
 0.18516573 0.13639736 0.42247079 0.71702646 0.41029612 0.36908883]","[[ 0.          0.37451937  0.63946346 ...  0.38241334  0.55784153
   0.75643906]
 [ 0.30303176  0.         -0.09561012 ... -0.14075084 -0.10746192
   0.01235766]
 [ 0.34958648  0.49283979  0.         ...  0.08910803  0.42302038
   0.81762605]
 ...
 [ 0.743121    0.84377996  0.1937811  ...  0.          0.39424853
  -0.99575934]
 [-0.95116331 -0.19820916  0.90698592 ...  0.38849261  0.
   0.27165353]
 [ 0.25223204  0.37264811 -0.54765854 ... -0.7478561  -0.88984043
   0.        ]]"
1,1,"[0.04359029 0.73560655 0.21093048 0.39272702 0.39649185 0.56225477
 0.24171319 0.75313331 0.52014415 0.24091188 0.98235431 0.49736648
 0.0769988  0.82379462 0.16758028 0.42874476 0.63552106 0.42547096
 0.57756307 0.08274349 0.49851455 0.77652107 0.63784801 0.02343978
 0.07404149 0.93781458 0.43398908 0.53113466 0.56657138 0.93320834
 0.65176007 0.38349461 0.87520404 0.67019393 0.54191001 0.31419948
 0.76541887 0.72454827 0.59202428 0.14325912 0.06188456 0.35766728
 0.99858889 0.23119825 0.36406303 0.83122639 0.90666468 0.17772273]","[[ 0.         -0.50517874 -0.83105601 ...  0.48873769 -0.62630925
  -0.32592326]
 [ 0.59917071 -0.         -0.11838501 ... -0.08822856 -0.64808046
   0.50138278]
 [-0.40910053 -0.29280059 -0.         ... -0.75294437  0.60065183
   0.78246052]
 ...
 [ 0.90349865 -0.1506567   0.76939945 ...  0.         -0.35363251
   0.10102179]
 [ 0.4422081  -0.10866993 -0.35539051 ... -0.68050191 -0.
  -0.72295922]
 [ 0.31912249 -0.6475863   0.17907249 ...  0.05194691 -0.15390014
   0.        ]]"
2,1,"[0.43806727 0.65865814 0.09078117 0.89136551 0.75941282 0.89074782
 0.09735958 0.97546885 0.0934426  0.98375989 0.53226121 0.23960149
 0.69646599 0.91886227 0.55638055 0.91706827 0.18503562 0.72638001
 0.48838391 0.05492647 0.45756376 0.87335784 0.09427647 0.47114149
 0.30715403 0.29818865 0.98152228 0.87314764 0.98774672 0.05785462
 0.14643428 0.09811974 0.1864502  0.88035754 0.01600075 0.53378305
 0.55323535 0.02359688 0.3548937  0.29547614 0.20653394 0.18533326
 0.59848125 0.38590731 0.86836812 0.31538975 0.34417204 0.12386464]","[[-0.          0.00965128 -0.79361391 ...  0.16448762 -0.42307993
  -0.55560684]
 [ 0.02818829  0.         -0.65474849 ... -0.67489417 -0.87457384
   0.09152791]
 [ 0.77145437 -0.08157297  0.         ... -0.04177965 -0.64698664
   0.3404975 ]
 ...
 [ 0.27650042  0.94597237  0.55485125 ... -0.          0.83267183
   0.06249169]
 [ 0.71511876 -0.72507892  0.24215098 ... -0.1809805  -0.
  -0.98929042]
 [-0.36598824  0.15091912 -0.17902785 ...  0.74040087  0.42988764
  -0.        ]]"
3,1,"[0.84064754 0.74331549 0.12790359 0.7310419  0.7748888  0.8285777
 0.71818662 0.93569857 0.86350547 0.30048692 0.64832314 0.22515109
 0.71354909 0.21854064 0.50773453 0.18881434 0.05125921 0.09483516
 0.63900333 0.76374619 0.62895959 0.22762859 0.06754758 0.55556121
 0.30230115 0.11209138 0.12013123 0.52083803 0.14937481 0.23685135
 0.99405818 0.13688363 0.44635769 0.60403192 0.5317573  0.83451571
 0.51859594 0.90211654 0.15770189 0.29604514 0.46799368 0.2383282
 0.99731904 0.16055761 0.2858358  0.54214164 0.39340074 0.66272959]","[[ 0.         -0.39696177  0.83891287 ... -0.55238027 -0.05286827
  -0.93034651]
 [-0.2589467  -0.          0.37465318 ...  0.1166663   0.33725916
  -0.92733463]
 [ 0.94836075  0.8950405   0.         ... -0.60685883  0.27155712
   0.08082309]
 ...
 [ 0.11957146  0.80436591  0.72588774 ... -0.          0.27736148
  -0.40816863]
 [ 0.79902336  0.44680664  0.80168461 ... -0.70157258 -0.
   0.81080149]
 [ 0.1703484  -0.01664026  0.59925788 ... -0.24050838 -0.19314651
  -0.        ]]"
4,2,"[0.73762427 0.36579835 0.14992413 0.81711883 0.67956252 0.43039872
 0.73573425 0.07312603 0.14606808 0.93974088 0.7806132  0.18946701
 0.35446015 0.31511668 0.34863421 0.35034859 0.82988979 0.27825749
 0.66329447 0.10242919 0.13533427 0.15972589 0.12124377 0.68946833
 0.97153315 0.14103894 0.60422659 0.46269412 0.14643614 0.99180499
 0.36686789 0.82383155 0.58075507 0.98438504 0.33883021 0.60357926
 0.43020998 0.76507237 0.15779714 0.24143689 0.63665089 0.15768315
 0.45337389 0.82775588 0.27111966 0.25819827 0.72336952 0.78911907]","[[-0.         -0.29665918  0.11654831 ... -0.191046   -0.66906277
  -0.50536727]
 [-0.24660301 -0.          0.4365067  ...  0.0259945   0.96356772
  -0.78187163]
 [-0.85470862 -0.49607473  0.         ... -0.31825379  0.41557538
   0.85342551]
 ...
 [-0.42617719  0.08561179 -0.1850931  ... -0.         -0.29597479
   0.2433437 ]
 [-0.86559109 -0.3507599  -0.74246077 ...  0.61022096 -0.
  -0.09048026]
 [ 0.1522391   0.18642586 -0.70202743 ...  0.66197342  0.49247557
  -0.        ]]"
5,0,"[0.39440326 0.99319031 0.58511132 0.60538106 0.2930835  0.41629976
 0.78386247 0.22971048 0.06816928 0.29414517 0.72628546 0.70010039
 0.72855745 0.2891923  0.78946551 0.35570311 0.42982462 0.30918843
 0.12372668 0.54236995 0.76634317 0.58010518 0.34181263 0.49300218
 0.54031857 0.19971782 0.14744371 0.44126946 0.09296142 0.48785397
 0.22443764 0.34476153 0.12658967 0.87607285 0.04015889 0.34909099
 0.43382359 0.02429198 0.4703588  0.41879699 0.55684474 0.39547413
 0.80959909 0.12351956 0.67737895 0.61941017 0.54530307 0.13757647]","[[ 0.         -0.09274879  0.13849923 ...  0.40577854 -0.99762869
   0.9250631 ]
 [-0.33000364 -0.          0.06740916 ...  0.18553344 -0.17740576
  -0.73162191]
 [ 0.1569521  -0.61936529  0.         ... -0.83970928 -0.15427815
  -0.64707345]
 ...
 [-0.03263071  0.41735262 -0.14116868 ... -0.          0.98045513
  -0.97553914]
 [-0.16878623 -0.74746064 -0.9334506  ...  0.29424166 -0.
  -0.91401214]
 [ 0.44388636 -0.27785936 -0.49155868 ... -0.20311635 -0.8285698
   0.        ]]"
6,1,"[0.78928215 0.57710469 0.19210327 0.35652915 0.38712933 0.44140864
 0.73067187 0.83699251 0.59815813 0.37931632 0.92366204 0.63730615
 0.94631054 0.80110034 0.27285114 0.21393053 0.86758627 0.80049466
 0.87360169 0.11843732 0.16840582 0.83279171 0.07730445 0.2163741
 0.59236903 0.17132121 0.21029674 0.02042935 0.91543943 0.59112723
 0.46682811 0.602416   0.07364677 0.1225058  0.55599824 0.35221472
 0.27260355 0.54198156 0.30793341 0.0575398  0.3463181  0.57720876
 0.52615832 0.45765774 0.78148964 0.78076811 0.86840995 0.56678803]","[[ 0.         -0.61018833  0.90352129 ...  0.20523046  0.76470292
  -0.80172965]
 [ 0.05523034 -0.         -0.29232313 ... -0.28120386  0.65169685
  -0.92182655]
 [ 0.76902062 -0.27855835 -0.         ...  0.59690277 -0.77728115
   0.4829513 ]
 ...
 [ 0.38465537 -0.95310815  0.23689479 ...  0.         -0.86060171
  -0.6079479 ]
 [-0.58701705 -0.21277286 -0.65541523 ... -0.77111263  0.
  -0.26816637]
 [ 0.14352919  0.05462787  0.9256078  ... -0.80038755  0.39816132
  -0.        ]]"
7,133,"[0.82042147 0.42863719 0.78171712 0.35667689 0.13804951 0.05908149
 0.09432535 0.57843725 0.23454538 0.5257917  0.71484627 0.21379001
 0.67957539 0.39987326 0.45017005 0.12977393 0.26084802 0.20929277
 0.37106825 0.71440876 0.63553822 0.24589477 0.38110365 0.10462753
 0.93799764 0.54542045 0.09972501 0.91468661 0.85458132 0.15394082
 0.3250905  0.19671435 0.11000401 0.09020964 0.64001332 0.00911661
 0.95985027 0.69290339 0.15183623 0.3554327  0.06633148 0.79159307
 0.77507408 0.33238091 0.99827469 0.09173888 0.17920695 0.59520727]","[[-0.         -0.27115944 -0.55689331 ... -0.3141863  -0.81750995
   0.05051354]
 [ 0.70092681  0.         -0.00329916 ...  0.16529293  0.98671242
  -0.76261238]
 [-0.48187698  0.29411036  0.         ...  0.61013257  0.57812948
   0.49839876]
 ...
 [ 0.19318811 -0.47797813  0.05320316 ... -0.         -0.11306544
  -0.12204297]
 [-0.46679486  0.98413628 -0.6255295  ...  0.17113527  0.
   0.33492096]
 [-0.27979406  0.65308601 -0.95179404 ... -0.67388268  0.6033318
  -0.        ]]"
8,2,"[0.88162928 0.95205245 0.58367606 0.2666514  0.15432605 0.79135304
 0.69498979 0.16510262 0.136866   0.3293348  0.56445795 0.82683615
 0.54533885 0.28072766 0.83305667 0.64122653 0.3193966  0.78571458
 0.6014132  0.75880728 0.53381996 0.1916006  0.48833009 0.1145332
 0.93247759 0.32103118 0.34321412 0.44458738 0.3965361  0.34253984
 0.51100656 0.44974693 0.81098625 0.74456169 0.29525775 0.92519775
 0.14681578 0.27371163 0.18965923 0.88155623 0.78681421 0.72208537
 0.98763918 0.91599926 0.04830941 0.04290881 0.93358375 0.21523914]","[[ 0.         -0.41265518  0.37681935 ...  0.7980112   0.59940519
   0.58880991]
 [-0.56375732  0.         -0.07662635 ... -0.38247754 -0.9757073
  -0.28018765]
 [-0.14804142 -0.61285601 -0.         ... -0.81576391  0.25481423
  -0.06413658]
 ...
 [ 0.79362476  0.43289487  0.35713278 ...  0.          0.30733209
   0.19115553]
 [ 0.16617887  0.85161966  0.49783148 ...  0.28228175  0.
   0.2282204 ]
 [ 0.40610625 -0.10836958  0.75025177 ...  0.13009625  0.73631438
  -0.        ]]"
9,6,"[0.17692546 0.52004781 0.32242747 0.11465316 0.68312037 0.15121109
 0.85805469 0.13828869 0.99639679 0.78109773 0.30561246 0.51842261
 0.25160537 0.67790367 0.34340021 0.34053529 0.72500433 0.8660242
 0.98244302 0.40589564 0.57749519 0.21285991 0.34522627 0.2971852
 0.01703638 0.91010274 0.92493677 0.08676976 0.77304688 0.67269554
 0.89173509 0.84324946 0.84476295 0.36772313 0.088609   0.44025744
 0.37974388 0.87564356 0.16187645 0.83821082 0.03203705 0.19174891
 0.00172963 0.82033133 0.49057196 0.31188959 0.2214527  0.37600769]","[[-0.          0.24955796  0.8345978  ...  0.61393863  0.08604297
  -0.53118535]
 [ 0.29499926  0.         -0.92154041 ...  0.79600694  0.11584928
  -0.14764456]
 [-0.84928886  0.55952583  0.         ...  0.28563827  0.92766015
  -0.19327172]
 ...
 [-0.30002105 -0.21986319  0.07345777 ... -0.         -0.1372339
  -0.91241554]
 [-0.04569456  0.43471205 -0.80466492 ...  0.69693696  0.
  -0.55889461]
 [ 0.7038238   0.91605258  0.6832784  ... -0.06993257 -0.24517789
  -0.        ]]"
10,4,"[0.85243683 0.17341172 0.60603012 0.41291682 0.61910452 0.40236093
 0.2403433  0.07382137 0.42700347 0.75628105 0.71283418 0.85376955
 0.00831509 0.69624614 0.64348978 0.77931995 0.46395397 0.49559144
 0.40654691 0.03523618 0.54778565 0.47368456 0.59045846 0.79537929
 0.72352559 0.15077958 0.72943393 0.12251618 0.3274118  0.54359157
 0.83965783 0.89822158 0.46487383 0.26644962 0.77234576 0.88057083
 0.59823298 0.080984   0.60271789 0.79775587 0.30849113 0.54110583
 0.96499272 0.10009421 0.82439204 0.03507246 0.24955532 0.43304038]","[[-0.          0.2271337  -0.51762995 ...  0.68829789 -0.71816362
  -0.17508443]
 [ 0.37697825  0.          0.62812545 ... -0.50752714 -0.15542334
   0.20692202]
 [ 0.67211459 -0.32124548 -0.         ...  0.35879601 -0.75181974
  -0.69814083]
 ...
 [-0.87438589  0.57587008  0.42432668 ...  0.         -0.50658529
  -0.53665128]
 [ 0.01645205  0.62571368  0.89199882 ... -0.73687973  0.
  -0.82431476]
 [-0.12352116  0.12500641  0.16901203 ...  0.72642757 -0.09340582
  -0.        ]]"
11,4,"[0.01308102 0.05772772 0.50051819 0.84991046 0.1288307  0.42526135
 0.91893151 0.48841199 0.84979894 0.30662084 0.8738852  0.36283468
 0.21032098 0.61866921 0.28184765 0.46316658 0.16815288 0.25204764
 0.45223588 0.53797434 0.52528099 0.61618015 0.85783434 0.44422404
 0.66077371 0.269047   0.10056553 0.94055432 0.5446739  0.26865922
 0.57929725 0.06051202 0.73950262 0.3323208  0.62936047 0.9152222
 0.40243732 0.79624763 0.91104285 0.35948159 0.10284643 0.2874435
 0.00752831 0.39480766 0.13851923 0.1939223  0.59813083 0.27439783]","[[ 0.         -0.80610085 -0.20018807 ... -0.37723525 -0.89824645
  -0.99416974]
 [ 0.75071566 -0.         -0.57840104 ... -0.88052601  0.89409223
  -0.46298612]
 [ 0.08861072 -0.50460125 -0.         ...  0.68116903  0.44184309
   0.03090451]
 ...
 [-0.96083571  0.56358386  0.38228256 ...  0.          0.28411469
   0.09756311]
 [-0.58950145  0.3331543  -0.6441395  ... -0.75906654 -0.
  -0.11584182]
 [ 0.17751799  0.63880202  0.84544771 ... -0.46666342  0.58311481
  -0.        ]]"
12,46,"[0.66233806 0.15830673 0.84211626 0.88920062 0.03431013 0.53947099
 0.66621958 0.56649908 0.59338705 0.77243331 0.43941081 0.01983861
 0.34309048 0.43303468 0.30911287 0.59555298 0.27786895 0.55087611
 0.44339976 0.41427552 0.50948296 0.34493074 0.56301428 0.65959138
 0.86948573 0.11131748 0.21672081 0.53931017 0.68385998 0.80648695
 0.35671006 0.08196703 0.68126028 0.81605728 0.95163661 0.46968906
 0.92593495 0.96628379 0.62712206 0.41117936 0.4411356  0.95920201
 0.17210301 0.98000823 0.51838631 0.80081719 0.70806531 0.32970024]","[[-0.         -0.28452726  0.16898207 ... -0.19093607  0.88486418
   0.9484469 ]
 [ 0.73209378  0.         -0.51677129 ... -0.18642711  0.02656144
  -0.23109747]
 [ 0.14745159 -0.952917    0.         ...  0.60781695 -0.10370673
  -0.49479821]
 ...
 [-0.00147567  0.1178827  -0.51867311 ...  0.          0.0631025
  -0.44110178]
 [-0.58108859  0.56907775  0.97864826 ... -0.35044224 -0.
   0.02230646]
 [ 0.87464503  0.80877338 -0.20411399 ...  0.77768606  0.75783499
   0.        ]]"
13,1,"[0.85662395 0.24801493 0.16645556 0.17884277 0.75922926 0.2916174
 0.72761143 0.75062614 0.33752927 0.75481252 0.80558885 0.327603
 0.65147085 0.9785507  0.23856423 0.27089524 0.74706718 0.87701792
 0.31836145 0.04494016 0.25884199 0.47543108 0.3221083  0.66904725
 0.32104645 0.05207266 0.62505986 0.27214105 0.5080524  0.62339858
 0.3908323  0.62393637 0.88792999 0.55427527 0.85616295 0.67515192
 0.94029904 0.75691179 0.33087884 0.72998989 0.8940274  0.8046848
 0.55647695 0.55943642 0.48528846 0.66398074 0.3082671  0.05962388]","[[ 0.          0.65356887 -0.65398989 ... -0.74027398  0.05542915
  -0.22842375]
 [ 0.78059184 -0.         -0.80828036 ...  0.24324091  0.93659734
   0.67232742]
 [-0.67932794 -0.83905994  0.         ... -0.8511344  -0.43964901
  -0.53995947]
 ...
 [ 0.5451404  -0.98191315  0.85765917 ...  0.          0.73524539
  -0.63150274]
 [ 0.30197025  0.53859014 -0.01040285 ...  0.64494762 -0.
   0.14481771]
 [ 0.21460895  0.21075593 -0.56854762 ... -0.39629765  0.56265155
  -0.        ]]"
14,3,"[0.56279393 0.08266965 0.93814653 0.53894876 0.46397464 0.16187461
 0.83119887 0.72071291 0.68214328 0.72765273 0.34044338 0.84612578
 0.16240037 0.06012834 0.33976036 0.54084171 0.3739268  0.25829859
 0.74932466 0.17259696 0.01013453 0.77437971 0.29526025 0.84357244
 0.05838369 0.30679152 0.16861345 0.2237568  0.92387293 0.13579522
 0.99808685 0.68025051 0.20279121 0.77414852 0.64869321 0.95713632
 0.24250022 0.37318002 0.11213957 0.13066451 0.58093969 0.76866747
 0.33144172 0.94414943 0.88676904 0.03223997 0.05652533 0.61305097]","[[-0.          0.68005564  0.9910514  ... -0.42970711 -0.40944802
   0.66167703]
 [-0.73007991  0.         -0.58854743 ...  0.67874315  0.83844061
   0.01364138]
 [ 0.96427671 -0.29271405 -0.         ... -0.55188334  0.82649007
   0.21737635]
 ...
 [ 0.81941885  0.39547202 -0.57708641 ... -0.         -0.18816157
   0.45568228]
 [-0.90670396  0.51597617 -0.97696971 ... -0.28579917  0.
   0.27382901]
 [ 0.7377866   0.48800381  0.31382558 ...  0.75959111 -0.23517933
  -0.        ]]"
