name,description,n,trials,resize
no_resize_46,,46,1000,False
,class,start_nodes,weights
0,1,"[0.67479203 0.66319076 0.49365966 0.10976124 0.95582886 0.82840911
 0.90994327 0.11006537 0.20801693 0.40539446 0.8484061  0.53522557
 0.05726111 0.95303011 0.23193939 0.33952397 0.48154847 0.05101827
 0.74179673 0.96912753 0.33994599 0.54924456 0.92613243 0.67412365
 0.93871205 0.64468944 0.57094601 0.9017115  0.13349542 0.54347227
 0.60734392 0.00706967 0.01818401 0.60721915 0.27665387 0.77072997
 0.27093434 0.35078661 0.44326245 0.68477084 0.77863437 0.55067374
 0.46470422 0.5717312  0.74638748 0.32711129]","[[-0.         -0.62424336  0.58298232 ... -0.40073296  0.53339239
   0.32907658]
 [ 0.30233015 -0.         -0.76177842 ... -0.77294248  0.20922762
   0.13412845]
 [-0.08044155  0.48345323  0.         ...  0.78037503  0.85110166
  -0.7307355 ]
 ...
 [ 0.32542202  0.11323008  0.77085832 ...  0.         -0.6324341
   0.21673014]
 [-0.85491573  0.46354129 -0.05212013 ...  0.54655026  0.
   0.65882138]
 [ 0.48296513 -0.35883695 -0.8284534  ... -0.06722782  0.90579503
   0.        ]]"
1,1,"[0.10539703 0.12187998 0.05660669 0.76973929 0.15554258 0.16307261
 0.86418114 0.96540471 0.3612566  0.36414582 0.49199799 0.87283848
 0.22928491 0.32865443 0.25447673 0.54344453 0.9178222  0.02617403
 0.40479093 0.11448676 0.12278769 0.3390179  0.18097587 0.76050606
 0.83599375 0.16113515 0.66367708 0.56292766 0.7945356  0.6910833
 0.48398612 0.500397   0.18568526 0.16886735 0.14302099 0.08472314
 0.86966098 0.22488967 0.31814851 0.78088382 0.37224284 0.2001254
 0.5504018  0.2983657  0.86176202 0.13467016]","[[ 0.         -0.33724728 -0.2867405  ...  0.54034728  0.10693514
   0.23510453]
 [ 0.92884779 -0.         -0.09505939 ...  0.02478999 -0.79313975
   0.62822964]
 [ 0.98889031 -0.72644616 -0.         ...  0.64801494 -0.4071872
   0.02661273]
 ...
 [ 0.88153013  0.24358443 -0.44866998 ...  0.         -0.89882406
   0.94680729]
 [-0.95395665 -0.56573458  0.64013096 ... -0.54390969  0.
   0.92985025]
 [-0.42129799  0.05084531  0.65249949 ... -0.28872789  0.29403304
  -0.        ]]"
2,1,"[0.50662805 0.93420291 0.90866389 0.91944345 0.73299963 0.77752042
 0.79889686 0.90070289 0.95500714 0.28543474 0.61451421 0.40355812
 0.73904261 0.08430241 0.88859857 0.37756826 0.75749172 0.03270177
 0.21053382 0.2864491  0.23510958 0.06742638 0.94433437 0.59469582
 0.33351579 0.538108   0.96052998 0.27183178 0.71363196 0.16313694
 0.29181808 0.1216151  0.09634577 0.98957184 0.29157329 0.86843766
 0.57028758 0.72755129 0.10719956 0.58659386 0.6434226  0.95486309
 0.77279519 0.73942896 0.01326779 0.88723886]","[[-0.         -0.75773556 -0.99107444 ... -0.06301216  0.63808419
  -0.12299693]
 [ 0.33618709 -0.         -0.9319692  ...  0.07798962  0.89984992
   0.03815789]
 [-0.97972588  0.78524262 -0.         ...  0.47641084  0.21840863
  -0.8635655 ]
 ...
 [-0.69928261  0.815277    0.08524354 ...  0.         -0.38665541
   0.17876349]
 [-0.84726373 -0.63584709  0.13478491 ...  0.97583884  0.
   0.19480496]
 [-0.43182993 -0.63005968 -0.56675746 ...  0.06995601 -0.59423779
   0.        ]]"
3,1,"[0.46816654 0.83675926 0.42419386 0.25309023 0.28595368 0.88452954
 0.87589994 0.51725343 0.77901144 0.72083341 0.31406151 0.38504015
 0.27511589 0.05368478 0.26778472 0.09047151 0.41583346 0.90131731
 0.63385758 0.66662037 0.98766118 0.64584041 0.06354704 0.52717267
 0.9937809  0.62510044 0.17609192 0.62863407 0.31823929 0.5983337
 0.34341531 0.95142443 0.12223094 0.54860141 0.59130417 0.72682447
 0.56673052 0.39654145 0.0897252  0.33221798 0.5131783  0.6525493
 0.42818588 0.59190083 0.08023248 0.19174443]","[[-0.         -0.72726413  0.68581687 ...  0.38604692  0.99904842
   0.45582829]
 [ 0.91856265  0.          0.97289879 ... -0.08376833 -0.70995844
   0.09391806]
 [ 0.00667974 -0.37934542 -0.         ...  0.86420484  0.50724171
  -0.00603779]
 ...
 [ 0.04885064 -0.20937504  0.97016582 ...  0.         -0.61968709
  -0.86125363]
 [-0.20438386  0.09778791 -0.78375373 ... -0.00975289 -0.
   0.54869754]
 [-0.96891087  0.71752191 -0.65538531 ...  0.57344117 -0.47987477
  -0.        ]]"
4,1,"[0.4800085  0.72268896 0.91869742 0.79278819 0.02315093 0.06415441
 0.71392755 0.20459713 0.85107545 0.60559189 0.4405014  0.49276773
 0.72492432 0.47780625 0.08741615 0.0339612  0.96772613 0.60877315
 0.40159289 0.41825008 0.63251436 0.69483612 0.93216895 0.94338902
 0.13687836 0.07380936 0.21617976 0.44345499 0.00600646 0.41478466
 0.34583285 0.51166841 0.04258234 0.70850355 0.63023863 0.61334581
 0.9566314  0.51875626 0.24950144 0.12223301 0.0064523  0.85985283
 0.49974911 0.94873307 0.5501493  0.17022455]","[[-0.         -0.36987104  0.42982128 ...  0.01997031 -0.88091991
  -0.39965435]
 [ 0.22268897  0.         -0.74683712 ...  0.10532235  0.15575592
  -0.24402008]
 [-0.29644893  0.90876707  0.         ...  0.30704966 -0.51517422
   0.7132564 ]
 ...
 [-0.50334219  0.91573315 -0.94721521 ... -0.         -0.08168202
   0.57107186]
 [-0.54654129  0.00253119  0.19853352 ... -0.49876775 -0.
  -0.10279386]
 [-0.05006411 -0.41174348  0.37207512 ...  0.55223802  0.97179389
   0.        ]]"
5,1,"[0.1918743  0.28423107 0.56213125 0.34434606 0.58727514 0.22238658
 0.38611259 0.74589488 0.56600776 0.6584791  0.36325132 0.79845273
 0.84198786 0.63456987 0.5258333  0.46972211 0.67261079 0.09749533
 0.76243558 0.15618628 0.68648813 0.6866355  0.89393333 0.54527546
 0.50245391 0.44502535 0.95298534 0.36801356 0.99804413 0.75668354
 0.81206108 0.78230574 0.0774137  0.75770356 0.85397036 0.4428342
 0.91217088 0.53119976 0.49136352 0.22440145 0.43156001 0.7113376
 0.16543648 0.32575034 0.12327362 0.23635263]","[[ 0.          0.77100372 -0.39496855 ... -0.18170971  0.2905511
   0.17742735]
 [ 0.45015919  0.          0.90790283 ... -0.53465917  0.23161437
  -0.20386195]
 [ 0.94580547  0.34454424  0.         ... -0.49953835  0.33639437
   0.39369638]
 ...
 [-0.25375952 -0.53164588  0.29410043 ...  0.          0.73502431
  -0.28411506]
 [ 0.92428717 -0.57934935 -0.78669665 ...  0.04296541  0.
   0.32863958]
 [ 0.93442584 -0.17775539  0.00591162 ... -0.6369736  -0.36540094
   0.        ]]"
6,1,"[0.50275433 0.84661694 0.59087774 0.6561287  0.98886096 0.9814149
 0.21990758 0.4610297  0.08414605 0.83316717 0.64311449 0.63618095
 0.88662191 0.85566452 0.51599633 0.24268413 0.10337261 0.13930892
 0.13061648 0.44161411 0.17811815 0.76556352 0.48565321 0.88987688
 0.80668401 0.20128193 0.18579581 0.69792768 0.18978253 0.20761862
 0.51422751 0.13730929 0.61626315 0.58789328 0.44096654 0.92531217
 0.23690648 0.40871723 0.90980864 0.05293604 0.66261006 0.51112907
 0.35619107 0.10434748 0.92140297 0.89651527]","[[ 0.          0.76075087  0.71484662 ...  0.12971066  0.2293273
  -0.32050344]
 [ 0.56482677  0.         -0.82241713 ... -0.94504776  0.91778453
   0.36661145]
 [-0.32323694 -0.55473461  0.         ...  0.93067702 -0.81788205
  -0.93674259]
 ...
 [-0.02069472 -0.3557441   0.47344706 ...  0.         -0.96111104
   0.39614276]
 [ 0.29114109  0.40449333  0.24178673 ...  0.6383952   0.
  -0.10479282]
 [-0.01141018  0.44705196  0.39304381 ...  0.82803144 -0.08301129
  -0.        ]]"
7,1,"[0.75468777 0.56031642 0.81583688 0.41207896 0.04836571 0.99062711
 0.26331246 0.90831033 0.54097401 0.23672254 0.90740897 0.63489842
 0.15400939 0.5422107  0.79203793 0.57467244 0.58425531 0.53374416
 0.73155942 0.95460835 0.1534819  0.578587   0.24417063 0.46272568
 0.4903502  0.60413348 0.16560315 0.84762175 0.29884741 0.85642456
 0.38506894 0.83898101 0.56611482 0.07332194 0.20115513 0.96468743
 0.89914503 0.72244971 0.24215076 0.55664302 0.31794469 0.88153645
 0.97018786 0.05602166 0.47915734 0.58231759]","[[ 0.         -0.30797949 -0.48087514 ...  0.35568506 -0.89595638
   0.65183328]
 [ 0.25839396 -0.         -0.1946111  ...  0.4142872   0.71350941
   0.71022507]
 [ 0.86412826  0.13127532 -0.         ... -0.34574399 -0.62306236
  -0.00150088]
 ...
 [-0.67119589 -0.87822525 -0.92790819 ... -0.         -0.26157485
   0.36332934]
 [-0.37062783  0.29519668 -0.19138022 ... -0.27019098 -0.
   0.17146208]
 [-0.86857338 -0.51859082  0.5715766  ... -0.72278026 -0.51408663
   0.        ]]"
8,1,"[0.49892041 0.33513165 0.34766333 0.22056386 0.72806389 0.89120337
 0.43239204 0.84658704 0.79614069 0.14324434 0.84458326 0.79816319
 0.57592908 0.36767643 0.2837749  0.53689681 0.28675972 0.80865682
 0.80372526 0.59489071 0.65156957 0.48028162 0.80668489 0.40519902
 0.68871274 0.73764674 0.61906945 0.89556589 0.04532929 0.63078678
 0.93979284 0.54329733 0.05003225 0.60305338 0.85176544 0.7732102
 0.56546693 0.29929908 0.36985298 0.23576395 0.4620532  0.86716604
 0.1116414  0.75558896 0.53395626 0.02301898]","[[ 0.         -0.886265   -0.67463055 ... -0.9050706  -0.08506467
   0.99649911]
 [ 0.02813992  0.         -0.99245092 ... -0.94215848  0.34265737
  -0.76542092]
 [ 0.62635874  0.49328566  0.         ...  0.22538418 -0.65817707
  -0.59787887]
 ...
 [-0.15422736 -0.05121449 -0.34233423 ... -0.         -0.44264205
   0.57238389]
 [ 0.15719635  0.39607609  0.67157766 ... -0.54721687 -0.
   0.4655584 ]
 [ 0.941358    0.1528584   0.39016951 ...  0.40595698  0.28534284
  -0.        ]]"
9,1,"[0.08912696 0.94901352 0.23556158 0.02667507 0.69348591 0.8212948
 0.12639554 0.6313249  0.77575599 0.781334   0.38902889 0.79983903
 0.52997275 0.42889914 0.87484696 0.81797055 0.47447622 0.01734923
 0.89480898 0.5001449  0.7595362  0.67551915 0.10543695 0.31793626
 0.33487946 0.63294946 0.68917521 0.16907917 0.45015419 0.42786522
 0.56687514 0.38457844 0.21093409 0.11695974 0.0662487  0.77546792
 0.22328267 0.59821276 0.26027259 0.53368251 0.82368837 0.01711375
 0.42115303 0.09491054 0.4882084  0.06734394]","[[ 0.          0.07898369  0.56104321 ... -0.28123172 -0.76917519
   0.438707  ]
 [ 0.35350449 -0.         -0.12696928 ...  0.50059124  0.93547664
  -0.94661663]
 [-0.57588068  0.14506014 -0.         ... -0.86099433  0.88393197
  -0.95164222]
 ...
 [ 0.89952616  0.36436218 -0.1769111  ...  0.          0.35959437
   0.43955818]
 [ 0.98812725  0.74747348  0.41087714 ... -0.49918868 -0.
   0.03532047]
 [-0.19975677 -0.77534171 -0.39169928 ... -0.08906418 -0.89786682
   0.        ]]"
