name,description,n,trials,resize
right_resize_8,,8,1000,True
,class,start_nodes,weights
0,1,"[0.92845822 0.3644232  0.50795081 0.27569058 0.16088479 0.96793849
 0.5182489  0.4453312 ]","[[ 0.          0.45249313  0.27650058 -0.32908289 -0.86008765  0.59135433
   0.65300295 -0.89648329]
 [ 0.47628889  0.         -0.41925294  0.51420152 -0.08639648  0.23669195
  -0.75101814 -0.64816521]
 [ 0.26017865  0.1651718  -0.         -0.43339011  0.41051559 -0.19291514
  -0.07313336 -0.44077092]
 [-0.51178435 -0.38623563  0.26092754  0.          0.45133144  0.23087761
  -0.90478073 -0.87442477]
 [-0.03159445  0.22323931  0.3028736   0.32738238 -0.         -0.2414524
  -0.67344203 -0.885339  ]
 [-0.04924495 -0.39190071  0.21110363 -0.97426725  0.36350584  0.
   0.28920598  0.78945774]
 [-0.19250679  0.49510194  0.67102599  0.74335423 -0.17940579 -0.33304511
  -0.         -0.1783766 ]
 [-0.23992992  0.01248983 -0.54811549  0.36659773 -0.35844274  0.55903451
   0.44752049 -0.        ]]"
1,1,"[0.14779476 0.67827238 0.29513464 0.05225222 0.78344115 0.15942362
 0.3244164  0.63993281]","[[-0.          0.77657414 -0.15377543 -0.64445787 -0.90348634 -0.70022264
  -0.60515355 -0.63825177]
 [-0.53860139  0.          0.12638242  0.81173339 -0.20490163 -0.69334398
   0.74308899 -0.83848361]
 [-0.08109459  0.5827381  -0.          0.39454911 -0.2727412   0.03032178
  -0.43607672  0.12521095]
 [-0.41461311  0.74011673 -0.54695152  0.         -0.07227546  0.16742909
   0.8521968   0.91952754]
 [-0.97122084 -0.29696366 -0.73980201  0.16514513 -0.          0.91515413
   0.92811972 -0.32346877]
 [ 0.27138364 -0.53300926 -0.53213997 -0.82957245  0.58215086 -0.
   0.44361076 -0.64378562]
 [ 0.93639971 -0.2979333   0.00280573  0.57203784 -0.37566651 -0.01258054
   0.          0.79174701]
 [ 0.71621976 -0.57032972 -0.70219226 -0.17033062  0.27269507 -0.37754718
  -0.23376375  0.        ]]"
2,1,"[0.36822262 0.55218074 0.76988318 0.22827654 0.37094549 0.5236425
 0.75140259 0.91196854]","[[ 0.         -0.42954702  0.60992861 -0.74478685  0.95476855  0.88129883
  -0.50771684  0.92627382]
 [ 0.66830176 -0.          0.15409066 -0.86978625  0.70775662 -0.73075809
  -0.23144439  0.81335508]
 [-0.15710401 -0.30797455 -0.          0.12011035 -0.04375525  0.29956462
   0.53996659  0.78566856]
 [ 0.77872372  0.3713986   0.36842742 -0.          0.60889349  0.85030503
  -0.15456032 -0.59569826]
 [-0.38245356  0.39892293  0.93611056 -0.31374594  0.          0.7870411
  -0.97791188 -0.79815015]
 [ 0.97247768  0.53659389 -0.5851955   0.2257338  -0.78350343 -0.
   0.166746   -0.22728573]
 [-0.78415185 -0.28363163 -0.50596361 -0.1922823  -0.44841984  0.99873631
   0.         -0.9531188 ]
 [-0.84625899  0.13725703 -0.75061442  0.3280914  -0.65791854  0.96453617
   0.60558327 -0.        ]]"
3,1,"[0.33432774 0.23411445 0.96776305 0.2042247  0.17714494 0.79253798
 0.30005273 0.4805313 ]","[[-0.          0.39497869 -0.61443377 -0.81806256 -0.29830914 -0.44438405
  -0.81585838  0.33258813]
 [ 0.53030092 -0.          0.62975678 -0.00126005  0.75850776 -0.04331233
   0.96241994 -0.36685785]
 [ 0.5401889  -0.4785881   0.          0.01478373  0.93935673 -0.75223891
   0.41128305 -0.29919045]
 [-0.06952834  0.73921311  0.85924487  0.         -0.90195925 -0.89649857
  -0.01358105 -0.7714531 ]
 [-0.75896822  0.58539692  0.36761468  0.29160451 -0.         -0.39850425
  -0.76033275 -0.20265493]
 [ 0.66367072  0.78918972 -0.67220684 -0.83458276  0.83854596  0.
  -0.33070632 -0.63812348]
 [ 0.69958851  0.721069   -0.65883524  0.37349624 -0.94010167 -0.11159692
  -0.         -0.36266502]
 [-0.36167963  0.14965241  0.95853172 -0.9485025  -0.65082345  0.37602429
   0.65521111 -0.        ]]"
4,1,"[0.31477738 0.58822657 0.81964156 0.14960571 0.55114955 0.56914764
 0.99238104 0.27042772]","[[-0.         -0.67520504 -0.75083823 -0.86848713  0.39289059  0.26180684
  -0.97668428  0.5836268 ]
 [-0.98643214  0.         -0.75259571  0.60014128  0.96543872 -0.01412466
  -0.5918521   0.24213743]
 [-0.38760844  0.07739496  0.         -0.48543001  0.21272208 -0.73332988
   0.78655867  0.81006607]
 [-0.99197481 -0.0354192   0.1556474  -0.          0.68081566  0.69799275
   0.02476908 -0.20302153]
 [-0.85293559  0.12940009  0.5652929  -0.07663181  0.          0.37285883
  -0.66756172  0.63010821]
 [-0.56674082 -0.11378886 -0.89053505 -0.83183709  0.31363632  0.
   0.88253586  0.74317184]
 [-0.22261241 -0.47406491 -0.91098053  0.72833438 -0.87869462 -0.32342508
   0.          0.15056034]
 [ 0.66367432  0.40047538 -0.82631128 -0.33852109 -0.29977874 -0.77295627
   0.63670213  0.        ]]"
5,1,"[0.10183773 0.50090964 0.92419394 0.19013694 0.7296082  0.53487908
 0.96453516 0.09765872]","[[ 0.         -0.18985745 -0.09726779 -0.27822623  0.8374316   0.06190262
  -0.13918087 -0.97263734]
 [-0.42832034 -0.         -0.27146672 -0.60926835 -0.44867475 -0.70123446
  -0.97666224  0.70692004]
 [-0.28678394  0.92525297 -0.          0.4217005   0.46040725 -0.87899981
   0.35357235 -0.68316676]
 [-0.78737731 -0.65319945  0.22744739 -0.          0.66256091 -0.66652069
  -0.44360877  0.72446737]
 [ 0.9768819   0.77770516  0.78290623 -0.18648482 -0.         -0.49316357
  -0.7922617  -0.55016216]
 [-0.57221521 -0.03594759  0.22543258  0.75797564 -0.20581149 -0.
   0.33249256 -0.22933826]
 [-0.45883447 -0.89964567  0.05068473  0.04749847 -0.32498704  0.43244048
  -0.         -0.35412741]
 [ 0.86522005  0.38290344 -0.14595799  0.87490661 -0.55729222 -0.25196757
   0.99853916 -0.        ]]"
6,1,"[0.57575362 0.07234541 0.48922111 0.26740694 0.32671664 0.55023571
 0.52587788 0.07904511]","[[-0.          0.30644914  0.37363474  0.61964896 -0.06539748 -0.46777178
   0.83174946 -0.83264063]
 [ 0.77071805 -0.          0.95494291  0.51102763 -0.05761362 -0.10865418
  -0.24751708 -0.85374687]
 [-0.46163631  0.83536513 -0.          0.98476065 -0.63165073 -0.00177296
  -0.02440547  0.28342178]
 [ 0.66175921 -0.19666999  0.5137153   0.         -0.66330919 -0.96946493
   0.73458142 -0.28511252]
 [ 0.78439109 -0.90937056 -0.22108143  0.09902715  0.          0.82282231
  -0.62461924  0.49481783]
 [ 0.39155291  0.81833408 -0.85950929  0.42445716 -0.09790923 -0.
   0.59381987 -0.91389351]
 [-0.84936631  0.3565677  -0.85418711  0.85560689  0.1089525  -0.88129588
  -0.          0.98631888]
 [ 0.85826854  0.58247529 -0.93265414 -0.8240956  -0.65589125 -0.26728052
  -0.37833868 -0.        ]]"
7,1,"[0.75003772 0.30640643 0.76106892 0.59981566 0.72824162 0.0398143
 0.778624   0.98934525]","[[-0.          0.56029351  0.86782102  0.48652131 -0.22356557  0.64737803
  -0.94857879 -0.25328905]
 [ 0.04060176 -0.          0.48493625  0.93712801  0.730463    0.54363479
   0.01417333  0.84681363]
 [-0.92017394 -0.43871893  0.          0.85455172  0.88548602 -0.77243358
  -0.26367888 -0.69967568]
 [ 0.93343214 -0.9985662   0.2910336   0.         -0.29399409 -0.290258
   0.98833729 -0.47067581]
 [ 0.62393816  0.99809445  0.14906193 -0.02153069  0.          0.4632055
  -0.18411006  0.70681726]
 [ 0.27142213 -0.07482067  0.88412587  0.20904953 -0.68437824  0.
   0.72986372 -0.39363811]
 [ 0.57966995  0.67830407  0.69669769 -0.83957367 -0.69129953 -0.83572316
  -0.          0.63994685]
 [ 0.2355927   0.21127246 -0.50660848  0.36567192  0.55749778 -0.01160015
  -0.06442728 -0.        ]]"
8,1,"[0.40298996 0.32493995 0.73579636 0.15583131 0.14620854 0.37892671
 0.7805749  0.73066128]","[[ 0.          0.62137817  0.3881525  -0.19829097  0.7898345  -0.22177653
   0.78923497  0.79243081]
 [-0.66267701  0.          0.68834535  0.94792377  0.44041083  0.26497645
  -0.16055697 -0.02017915]
 [ 0.57246564 -0.85796023  0.         -0.96910124  0.69449289 -0.91040809
  -0.88499086  0.85220426]
 [-0.05902547  0.97194367  0.56197733  0.          0.51216998  0.27652716
   0.19241831 -0.35792905]
 [ 0.27436907 -0.14832525 -0.00672127  0.91874611 -0.         -0.87950507
  -0.91203279 -0.670604  ]
 [-0.52117828 -0.16392255 -0.64658269 -0.87367352 -0.00670505  0.
   0.03150671  0.94845112]
 [-0.22567479  0.81053287 -0.03049524  0.05599882  0.35938893  0.95460646
   0.          0.18715702]
 [ 0.53436767  0.4600524   0.73815677 -0.70923259 -0.90050348  0.44752955
   0.92790287 -0.        ]]"
9,1,"[0.92740557 0.75922368 0.61845363 0.28292239 0.14538914 0.75772416
 0.48528657 0.28366943]","[[ 0.         -0.34593608 -0.27088451 -0.18603716  0.90159976 -0.30809021
  -0.20125939  0.7724217 ]
 [-0.05495183  0.          0.67192908 -0.48223852 -0.29730932 -0.24347684
  -0.74187418 -0.91667162]
 [-0.37730953  0.72417788  0.         -0.5543956   0.18908283  0.09119158
   0.84673734  0.5461964 ]
 [ 0.50724296  0.98546361  0.07063487 -0.         -0.03185341 -0.86883895
  -0.56190763 -0.40262899]
 [-0.93141538 -0.5993652   0.65200982  0.73761393 -0.          0.25385267
  -0.31166525  0.61050325]
 [-0.68517265 -0.26924891 -0.6548868   0.96931719 -0.73577762  0.
   0.4024768  -0.35288475]
 [ 0.71726525  0.58503073 -0.67461237  0.58437655 -0.24851663  0.20388746
   0.         -0.33581617]
 [-0.0904258   0.74318726  0.39695836 -0.03612202 -0.41550947 -0.36313486
  -0.9963272  -0.        ]]"
