name,description,n,trials,resize
right_resize_selfLoops_43,,43,1000,True
,class,start_nodes,weights
0,1,"[0.21478179 0.58951064 0.17699688 0.69441205 0.91669283 0.13969387
 0.78224203 0.44480032 0.24608874 0.89944962 0.43652109 0.78187986
 0.24183733 0.10117568 0.55925134 0.38622098 0.47924316 0.95759452
 0.87517925 0.93178998 0.27437524 0.06996833 0.01700151 0.4647741
 0.61166498 0.09671054 0.14207418 0.67774708 0.69986398 0.10564019
 0.17347571 0.70100917 0.91676539 0.83941843 0.69857589 0.38780288
 0.83983594 0.17264537 0.70262442 0.28559248 0.18908204 0.13365289
 0.88970099]","[[ 0.80951179 -0.4267431  -0.31526835 ... -0.15463613 -0.23780469
   0.99205064]
 [-0.08809439  0.01291275 -0.84520714 ...  0.31874095 -0.01220459
  -0.38931412]
 [ 0.42626066 -0.28391232 -0.67205012 ...  0.36922928  0.29157847
  -0.61733064]
 ...
 [ 0.57289513 -0.15089234  0.18841419 ... -0.81844899 -0.0508846
   0.5189758 ]
 [-0.93532175  0.84801295  0.2326055  ... -0.90815003  0.43014086
  -0.60702363]
 [-0.62254951  0.30875734  0.14237714 ...  0.71643353 -0.6911577
  -0.50953975]]"
1,1,"[0.52564036 0.8885582  0.17222117 0.7710883  0.96243935 0.05179774
 0.42805858 0.30412255 0.16360198 0.04917026 0.03547739 0.78391867
 0.58162088 0.26198418 0.19123683 0.02418847 0.29178584 0.76927485
 0.27747267 0.85611238 0.70162954 0.6276378  0.48430945 0.11039826
 0.01493751 0.02015498 0.63226647 0.72807928 0.04121069 0.10681907
 0.5793797  0.05027287 0.80144723 0.44364182 0.54682953 0.74182444
 0.27240594 0.7333832  0.1076045  0.23574648 0.9197697  0.6251828
 0.17208179]","[[-6.56319437e-01  1.55624509e-01  9.94569754e-01 ... -2.76601998e-01
   1.86907084e-01 -8.44740575e-01]
 [-2.95674172e-01  7.18907416e-04  3.58153555e-01 ... -1.73819659e-01
   1.35775877e-01  1.83292147e-01]
 [-7.35121340e-01  8.01144968e-01 -7.20143834e-01 ... -9.22663456e-01
   4.13681227e-01 -5.27958850e-01]
 ...
 [-3.66215343e-01 -3.81793581e-01 -5.66750450e-01 ...  4.37683912e-01
   5.33902489e-01  4.55822696e-01]
 [-7.58658167e-01  6.45828931e-02 -5.71201555e-01 ...  6.39910103e-01
   1.74720879e-01  9.05742535e-01]
 [ 8.52687478e-01 -6.43396503e-01 -4.68176290e-01 ... -8.98954435e-02
   8.87042066e-01  4.33828418e-01]]"
2,1,"[0.84859163 0.86274479 0.34044392 0.81036559 0.0075105  0.13473703
 0.73446979 0.53586695 0.95967582 0.16352847 0.72630759 0.08835673
 0.30218561 0.31142861 0.53878312 0.06481765 0.91710007 0.77297095
 0.19072842 0.59415476 0.57105524 0.39373976 0.17620888 0.07659348
 0.61649984 0.92196594 0.90022804 0.01554984 0.49737096 0.25136518
 0.24574307 0.65676158 0.29276524 0.88522718 0.54750234 0.18238667
 0.30324377 0.36296782 0.32176748 0.32563109 0.13811591 0.20612646
 0.37993907]","[[ 0.05046558 -0.74090748 -0.52675257 ...  0.36431725  0.78156467
   0.38457613]
 [ 0.2720716  -0.43973671 -0.18322975 ... -0.66631908 -0.09147154
   0.73545499]
 [ 0.08778125 -0.9165984  -0.61488343 ... -0.66945856  0.16464135
  -0.39163662]
 ...
 [-0.07073992  0.01237965 -0.87438992 ... -0.75241286 -0.2271438
  -0.7101337 ]
 [-0.15581125  0.69927595  0.01398131 ... -0.83641259 -0.87957245
   0.75451061]
 [ 0.40087786 -0.13642089 -0.93931163 ...  0.46467843  0.97041198
   0.60062381]]"
3,1,"[0.99006975 0.0445569  0.37185096 0.90893542 0.62649262 0.30414953
 0.43162432 0.02427539 0.46724984 0.92606125 0.59531616 0.0057698
 0.12805545 0.60719621 0.96520736 0.43326238 0.47687917 0.01049674
 0.98777396 0.54233682 0.54135698 0.5610324  0.05901451 0.44475919
 0.91125129 0.02205929 0.79761263 0.2559051  0.63899335 0.77584049
 0.87492078 0.37438126 0.93190017 0.20473708 0.61406385 0.2653907
 0.44650862 0.65013529 0.9260785  0.89429005 0.2969124  0.84219673
 0.49999476]","[[-0.6491337  -0.01099699 -0.237028   ... -0.60621272  0.24893638
   0.87826771]
 [-0.99985455 -0.52692602 -0.23923252 ...  0.18304357 -0.27224868
   0.57386983]
 [-0.4071728  -0.79530235  0.20074903 ... -0.50729214 -0.64726449
   0.4144677 ]
 ...
 [-0.37563095 -0.90601152 -0.49634611 ...  0.70983544  0.83258793
  -0.2230892 ]
 [ 0.79521937  0.08245868  0.05756285 ...  0.68365021 -0.74705938
   0.17125501]
 [ 0.89010413  0.35259615 -0.92582413 ...  0.08794139  0.8874568
   0.79426017]]"
4,1,"[0.05985386 0.94508972 0.26668258 0.93899147 0.03232242 0.60031564
 0.83347525 0.50458691 0.39504642 0.47595048 0.59651883 0.95228195
 0.13240794 0.77843311 0.50661196 0.15187786 0.20436022 0.62089224
 0.66223369 0.47444346 0.19859637 0.31909711 0.93238021 0.74266479
 0.90531306 0.31099238 0.06379577 0.33432096 0.61964917 0.29766646
 0.93580535 0.17534165 0.25363641 0.00386068 0.4967356  0.19633751
 0.72054828 0.17517319 0.65914624 0.43161948 0.18451367 0.90546428
 0.67304431]","[[ 0.86586562  0.80471226 -0.78336373 ...  0.79466645  0.11106985
  -0.68409672]
 [-0.81463691 -0.62448273 -0.21795319 ...  0.94231561 -0.79058084
   0.33916728]
 [-0.79970434  0.55942213  0.4269578  ...  0.28082361  0.50175497
  -0.0728216 ]
 ...
 [ 0.21678623 -0.94740334 -0.08401495 ...  0.60404118  0.12916683
   0.95441725]
 [-0.64089158 -0.18223559 -0.42833637 ...  0.01763954 -0.00362597
   0.62315277]
 [ 0.87364324 -0.26184956 -0.33443974 ... -0.16554459  0.24011206
  -0.34982075]]"
5,1,"[0.40906209 0.69080161 0.84985924 0.42763726 0.26982161 0.01953609
 0.29447859 0.70887534 0.20800136 0.63181934 0.10033769 0.54205374
 0.77158129 0.20092114 0.60580322 0.9679494  0.02179266 0.67568712
 0.86474366 0.39072626 0.69533763 0.42252758 0.12742238 0.07442721
 0.69808563 0.75938496 0.01864652 0.59850323 0.72161119 0.52012925
 0.82640233 0.96608419 0.18263247 0.15174008 0.63570927 0.73655392
 0.21060478 0.50158075 0.5121174  0.45615136 0.74074904 0.28551147
 0.85262568]","[[ 0.84753208  0.23663854  0.12178735 ...  0.85708209  0.98454357
   0.43867866]
 [ 0.8596479  -0.71277285 -0.8819058  ...  0.64637347  0.792362
  -0.88986115]
 [-0.37927284  0.51953733 -0.05510724 ...  0.80455264  0.20792998
  -0.44040951]
 ...
 [-0.15852847  0.55173755 -0.30643884 ... -0.0602701  -0.44523475
  -0.06999553]
 [ 0.127884   -0.56949168 -0.56839167 ...  0.54216888  0.30773603
   0.19511113]
 [ 0.63042413 -0.35510415  0.68332906 ... -0.08605596 -0.69513942
  -0.04732842]]"
6,1,"[0.90214913 0.24079149 0.00363848 0.57138279 0.07771893 0.24373874
 0.50850575 0.63448248 0.2541169  0.97595008 0.23367407 0.80210941
 0.02547708 0.92589033 0.97033833 0.82225022 0.71466248 0.31831165
 0.25551072 0.70299541 0.57478767 0.60487387 0.56009922 0.77570386
 0.34297591 0.7773786  0.32052099 0.50027075 0.30650337 0.09187614
 0.3243614  0.19460603 0.81694941 0.69704596 0.12851608 0.87295242
 0.65929123 0.10419081 0.152399   0.83227743 0.14039631 0.31447191
 0.46284806]","[[ 0.12843068  0.83481371 -0.10887856 ... -0.7560575  -0.03560325
   0.43063893]
 [-0.54064915  0.87549361 -0.0884115  ...  0.82276791 -0.31284498
  -0.28071671]
 [-0.1411612   0.75847421 -0.05601911 ... -0.51594677 -0.4168125
   0.58913999]
 ...
 [ 0.83198125 -0.42949178 -0.60472723 ...  0.6051064   0.01717733
   0.66214359]
 [ 0.54690709  0.59230611  0.08207251 ...  0.66107179  0.5192972
  -0.76176748]
 [ 0.80404425  0.41900952 -0.75142213 ... -0.68698094 -0.03334623
  -0.10980135]]"
7,1,"[0.20921362 0.73181096 0.01394116 0.16390893 0.84513195 0.98891891
 0.08887198 0.48052429 0.87097065 0.66038471 0.70096508 0.05322986
 0.57387818 0.67309995 0.28414787 0.1083683  0.03423392 0.9964916
 0.50156065 0.89724059 0.14233961 0.83203493 0.08459661 0.46777713
 0.99730124 0.75993102 0.76037137 0.49976981 0.18423023 0.87488772
 0.99024746 0.64403632 0.35403235 0.69081589 0.19536351 0.49102271
 0.03038211 0.69711614 0.06384037 0.73618956 0.48509127 0.81831741
 0.45762247]","[[-0.71236368 -0.96459808 -0.97932477 ... -0.58433992 -0.08097874
   0.57795214]
 [ 0.48678868  0.32859028  0.33419229 ... -0.57415169  0.1262141
   0.26605024]
 [ 0.36034449 -0.0418506  -0.4976507  ... -0.52452423 -0.93419717
   0.58523706]
 ...
 [ 0.10391977 -0.24634033  0.04490567 ...  0.57181507  0.01650812
  -0.01581307]
 [-0.82968026 -0.16737007  0.450073   ... -0.50154544  0.36239346
   0.96174918]
 [-0.75276128 -0.82394799 -0.87909818 ...  0.53883885 -0.81590656
  -0.04953869]]"
8,1,"[0.46411469 0.33153999 0.13559522 0.805513   0.21642572 0.27866993
 0.97032415 0.09586914 0.93284071 0.96698701 0.65931834 0.53752288
 0.34109632 0.32117958 0.26891229 0.5199058  0.41679746 0.72622295
 0.91048557 0.38797112 0.29963096 0.5658183  0.75210206 0.05816304
 0.77067007 0.30095296 0.50971375 0.94793176 0.32039755 0.82522015
 0.02421486 0.72056644 0.83051382 0.86865552 0.99991683 0.09496606
 0.45679452 0.49504246 0.48135091 0.50577781 0.71998108 0.73175642
 0.85870893]","[[ 0.91440637 -0.61940423 -0.7733632  ...  0.57911891  0.32605625
  -0.40539121]
 [-0.23792684  0.18493938 -0.09712619 ... -0.39415684 -0.66096556
   0.98368833]
 [ 0.3911053   0.17560561 -0.44685469 ... -0.5429408  -0.67128823
  -0.3274181 ]
 ...
 [-0.03315519 -0.00581009  0.98267121 ... -0.3143547   0.37389725
   0.6475639 ]
 [ 0.06213721  0.65239248  0.11187505 ...  0.49748167 -0.35230343
   0.45507851]
 [-0.42668002  0.17987683  0.01243292 ...  0.8688019  -0.88925779
  -0.12099089]]"
9,1,"[0.36267291 0.46595231 0.59472988 0.98001854 0.98007433 0.06671311
 0.08274374 0.07687365 0.24512961 0.10425904 0.54355949 0.63497957
 0.84306142 0.70248089 0.81411615 0.24180634 0.89104246 0.04038955
 0.52817656 0.4473848  0.51894026 0.61399798 0.12314628 0.62938742
 0.26916382 0.42182667 0.9154178  0.85912538 0.26859308 0.35900173
 0.40716145 0.26611896 0.41570849 0.46821528 0.66765583 0.43262764
 0.1763919  0.70236158 0.10726825 0.02740442 0.90613174 0.99307615
 0.12036491]","[[-0.22119521  0.42584037  0.59668181 ...  0.72708361 -0.31244222
  -0.86415597]
 [ 0.00429554  0.71943357 -0.69340514 ...  0.89570316  0.97755673
  -0.59820741]
 [-0.65519527  0.73804256 -0.34657391 ... -0.59699667  0.76075268
   0.97819043]
 ...
 [-0.88106592 -0.47432863 -0.25874807 ...  0.81643458  0.4548039
   0.71160468]
 [-0.33417596 -0.13522451 -0.47980694 ...  0.21621763  0.67853768
  -0.08364524]
 [ 0.27917225  0.42009192 -0.89874083 ... -0.11444101  0.53489962
  -0.98651951]]"
