name,description,n,trials,resize
selfLoops_6,,6,1000,True
,class,start_nodes,weights
0,1,[0.94034619 0.99251965 0.53922951 0.58202406 0.42348772 0.48750382],"[[-0.02819882 -0.75621622  0.14919107  0.65069002  0.66582525  0.13699628]
 [-0.87158351 -0.36470345  0.18653211  0.52608802  0.69299441 -0.17971977]
 [-0.54528883  0.80211882  0.3815044  -0.37891952  0.03682825 -0.57773927]
 [ 0.98797929  0.71890389 -0.36437618  0.44476935 -0.73173074 -0.68012923]
 [ 0.9923306  -0.35074496 -0.01500896 -0.45875527  0.24066383  0.3093077 ]
 [ 0.89525786  0.7148544   0.34839842  0.08316762 -0.89835064  0.59953089]]"
1,1,[0.42071165 0.08417203 0.17436265 0.48131955 0.0272665  0.8535476 ],"[[-0.72331142  0.93544055 -0.60043928  0.11287377  0.14767669  0.25865866]
 [ 0.14224775 -0.8524833  -0.57256018  0.45125551 -0.53865091  0.80569975]
 [-0.02006469 -0.93978337  0.13958384 -0.82185511  0.9764527  -0.86445224]
 [ 0.58567709 -0.04957771  0.24395076  0.7408208  -0.07681624 -0.74755132]
 [ 0.57652317 -0.04028847 -0.60860784  0.47225352  0.34464008 -0.72249535]
 [ 0.59492216 -0.57930942  0.06479656  0.49321027 -0.45055039 -0.88115913]]"
2,1,[0.5809134  0.45713024 0.58666827 0.6714129  0.9815186  0.43034654],"[[ 0.25529537 -0.12927822 -0.63084275  0.56370596 -0.25755144 -0.33650866]
 [ 0.93821608  0.06537111 -0.45567772  0.06774979 -0.16579474 -0.18889226]
 [-0.27624262 -0.44499434 -0.42178948 -0.77251419 -0.35679475  0.80043628]
 [ 0.97054942  0.93392574 -0.02822394  0.84173929 -0.33139437  0.01733849]
 [-0.41182487 -0.37837666  0.19790279  0.20672409 -0.53565565 -0.95067488]
 [ 0.08233749 -0.40853162  0.65044725 -0.72072622  0.1686203  -0.13257881]]"
3,1,[0.17468313 0.57467536 0.09355155 0.50907617 0.51779351 0.14054718],"[[-0.09882799  0.21138471 -0.6589006   0.87790104  0.80988083 -0.5580116 ]
 [-0.58374323  0.2282759   0.23931543  0.64917338  0.01043607  0.33891747]
 [ 0.14983809  0.50125036  0.63746937 -0.23226023  0.46719037 -0.69470145]
 [-0.62955505 -0.19970958 -0.80056562 -0.00591049 -0.83893438  0.60736808]
 [ 0.73713166  0.34073225  0.55113483  0.09656994  0.20564202 -0.12577135]
 [ 0.28100449 -0.51955067 -0.88200566 -0.07902391  0.4108141   0.37796318]]"
4,2,[0.11240953 0.48823918 0.63100916 0.04364062 0.4549434  0.10918716],"[[-0.27668774 -0.57113425 -0.5154162   0.11672742  0.05789453  0.95550341]
 [ 0.2687912  -0.37549836  0.95528306  0.08838619 -0.69859534 -0.99632004]
 [ 0.98988861 -0.68283235 -0.44469811  0.59360953  0.89319261 -0.677019  ]
 [-0.3150823   0.63093862 -0.65551631  0.78054084  0.73707155  0.05930806]
 [ 0.1334548  -0.43329849  0.66603245 -0.04638273  0.49139507  0.0637629 ]
 [-0.78621983 -0.87075931 -0.72563545 -0.67536677  0.93419238  0.97783669]]"
5,1,[0.09830297 0.93205353 0.55329854 0.74630315 0.9018928  0.45145567],"[[-0.70397367 -0.84372671 -0.34798399 -0.15023277 -0.95247938 -0.07406063]
 [ 0.48133963 -0.60433392 -0.49887238 -0.36781742 -0.38574762  0.44888867]
 [ 0.20846658 -0.05433244  0.30207911  0.62208907  0.80551732  0.78786308]
 [ 0.41404965 -0.32436621 -0.95474797  0.74538223  0.97351047 -0.22852134]
 [ 0.84094829  0.40003707  0.79200563 -0.5462884   0.99672242  0.55405675]
 [ 0.11755926 -0.0454277   0.16321393  0.19769806 -0.54308045 -0.37417069]]"
6,1,[0.39799052 0.43844401 0.30524547 0.66490357 0.55000406 0.73919878],"[[ 0.84441197  0.24910571 -0.6046329   0.56736814 -0.93365438 -0.03643703]
 [ 0.80991523  0.08822146 -0.51945579 -0.97389844  0.89725921  0.71452094]
 [ 0.44118912 -0.49068854  0.01798686  0.99453498  0.51355598 -0.36488507]
 [-0.84689075 -0.83434693  0.8308291   0.67521791  0.49721212  0.50422642]
 [ 0.22639586  0.67664205 -0.67515866  0.51851729 -0.76390631 -0.1902216 ]
 [-0.21655986 -0.81576937 -0.38568044  0.22978331  0.80171718 -0.6430889 ]]"
7,1,[0.00194184 0.92261773 0.84454395 0.28705878 0.70555354 0.19761305],"[[ 0.79677488 -0.56986884  0.36412819 -0.87494582 -0.77746757 -0.95145159]
 [-0.70880368 -0.34617594 -0.1280501  -0.14917425 -0.2393755  -0.80348047]
 [ 0.66267869 -0.31669971 -0.12347178  0.5929052   0.98574468 -0.48562138]
 [-0.98817027  0.13327891  0.19991831 -0.1718686  -0.14177338  0.86817941]
 [ 0.99486893  0.30041997 -0.3626282  -0.29679415 -0.72603908  0.89566601]
 [-0.23192525  0.33259196  0.54021424 -0.17412928  0.54337014 -0.90843808]]"
8,1,[0.80079284 0.00969693 0.25843313 0.20815936 0.46632324 0.27382428],"[[-0.77472703 -0.66400283  0.79104105  0.95225278  0.82150264  0.41919682]
 [ 0.71469486  0.42412899  0.21938383  0.02488109  0.98200606  0.4148298 ]
 [ 0.67170955  0.881658   -0.25800424  0.97301108  0.56950695  0.96173349]
 [ 0.61377506  0.98220129 -0.83474754  0.18050354  0.23799333  0.94506285]
 [ 0.59896711  0.58639501  0.08760507 -0.16547139  0.06672662 -0.9411351 ]
 [ 0.67003113 -0.76540094 -0.03170277 -0.57601001  0.52585855  0.98506328]]"
9,7,[0.2961811  0.47459007 0.92770733 0.73500916 0.72839132 0.55897553],"[[-0.45026431  0.31826595  0.03053375  0.66251864  0.61119101  0.77753871]
 [-0.12433721  0.09088653  0.08347691 -0.75963258  0.23097965  0.97302372]
 [-0.21273596  0.76952392 -0.09538988  0.09588959 -0.522064    0.59528413]
 [ 0.25805071  0.19752112  0.10683784  0.78470077 -0.96951175  0.63752335]
 [ 0.93028309 -0.49574476 -0.80365511  0.50355133 -0.62602664 -0.43830935]
 [-0.14119299 -0.30021391 -0.01990286 -0.61376544 -0.54743212 -0.01227198]]"
